Order ID,Product,Category,Quantity,Price,Region,Date
1,Smartwatch,Electronics,1,42134,East,2023-01-01 00:00:00
2,Laptop,Accessories,3,46264,South,2023-01-01 01:00:00
3,Headphones,Accessories,4,46816,West,2023-01-01 02:00:00
4,Headphones,Accessories,3,47820,South,2023-01-01 03:00:00
5,Headphones,Electronics,3,36919,North,2023-01-01 04:00:00
6,Phone,Accessories,1,42975,North,2023-01-01 05:00:00
7,Headphones,Electronics,2,23741,South,2023-01-01 06:00:00
8,Tablet,Accessories,2,49161,North,2023-01-01 07:00:00
9,Smartwatch,Accessories,4,32645,East,2023-01-01 08:00:00
10,Laptop,Electronics,4,30723,North,2023-01-01 09:00:00
11,Laptop,Electronics,3,5091,North,2023-01-01 10:00:00
12,Smartwatch,Accessories,2,42250,West,2023-01-01 11:00:00
13,Tablet,Accessories,1,28297,North,2023-01-01 12:00:00
14,Phone,Electronics,4,15713,North,2023-01-01 13:00:00
15,Laptop,Electronics,3,33356,West,2023-01-01 14:00:00
16,Phone,Electronics,2,30343,East,2023-01-01 15:00:00
17,Phone,Electronics,3,14551,South,2023-01-01 16:00:00
18,Laptop,Accessories,2,3416,West,2023-01-01 17:00:00
19,Phone,Electronics,1,36898,North,2023-01-01 18:00:00
20,Smartwatch,Accessories,3,10538,North,2023-01-01 19:00:00
21,Headphones,Electronics,4,23151,East,2023-01-01 20:00:00
22,Laptop,Accessories,4,28845,North,2023-01-01 21:00:00
23,Headphones,Accessories,1,2826,West,2023-01-01 22:00:00
24,Laptop,Accessories,3,1096,East,2023-01-01 23:00:00
25,Tablet,Accessories,2,1533,West,2023-01-02 00:00:00
26,Headphones,Accessories,4,44503,South,2023-01-02 01:00:00
27,Laptop,Electronics,2,16662,East,2023-01-02 02:00:00
28,Phone,Electronics,3,33350,South,2023-01-02 03:00:00
29,Headphones,Electronics,2,12893,South,2023-01-02 04:00:00
30,Headphones,Electronics,4,16792,South,2023-01-02 05:00:00
31,Headphones,Accessories,4,2280,West,2023-01-02 06:00:00
32,Laptop,Accessories,3,17983,South,2023-01-02 07:00:00
33,Phone,Electronics,2,23627,North,2023-01-02 08:00:00
34,Phone,Accessories,3,22979,South,2023-01-02 09:00:00
35,Phone,Electronics,4,41922,South,2023-01-02 10:00:00
36,Laptop,Electronics,1,5763,North,2023-01-02 11:00:00
37,Tablet,Electronics,4,15690,South,2023-01-02 12:00:00
38,Smartwatch,Electronics,4,27641,North,2023-01-02 13:00:00
39,Headphones,Electronics,3,35093,East,2023-01-02 14:00:00
40,Headphones,Electronics,4,21657,South,2023-01-02 15:00:00
41,Tablet,Electronics,3,20798,South,2023-01-02 16:00:00
42,Smartwatch,Electronics,4,49354,South,2023-01-02 17:00:00
43,Tablet,Electronics,3,42640,South,2023-01-02 18:00:00
